user_id,team1,team2,pick
8,Duquesne,"Louisiana Tech",Duquesne
8,"William & Mary","Saint Francis","William & Mary"
8,"San Jose St.",Siena,"San Jose St."
8,USC,"Kansas St.","Kansas St."
8,Arkansas,Arizona,Arizona
8,Yale,"Boston College",Yale
8,Oregon,"Seton Hall",Oregon
8,"Coppin St.","Grambling St.","Grambling St."
8,"Stony Brook","South Dakota","Stony Brook"
8,UCLA,"Iowa St.",UCLA
8,"Idaho St.","Texas A&M Corpus Chris","Idaho St."
8,Xavier,TCU,TCU
8,"Indiana St.","South Dakota St.","South Dakota St."
8,"UT Rio Grande Valley","Incarnate Word","UT Rio Grande Valley"
8,"Northern Iowa","Florida St.","Florida St."
8,"Illinois St.","Utah Valley","Illinois St."
8,"Colorado St.",Buffalo,"Colorado St."
8,"Grand Canyon",Furman,"Grand Canyon"
8,Pittsburgh,Florida,Florida
8,Niagara,"Tennessee St.","Tennessee St."
8,"Fairleigh Dickinson","North Dakota","North Dakota"
8,"USC Upstate","Chicago St.","Chicago St."
8,"Southern Illinois",Butler,"Southern Illinois"
8,"Western Kentucky","Stephen F. Austin","Stephen F. Austin"
8,Creighton,LSU,Creighton
8,Providence,"Oklahoma St.",Providence
8,"East Carolina","Kent St.","Kent St."
9,"Boise St.","UC Irvine","Boise St."
9,"Saint Joseph's","Illinois St.","Saint Joseph's"
9,"North Alabama","Texas Southern","North Alabama"
9,Jacksonville,Dartmouth,Dartmouth
9,Iowa,Texas,Texas
9,Ohio,Drexel,Drexel
9,"North Dakota","UT Rio Grande Valley","North Dakota"
9,Dayton,Florida,Florida
9,Memphis,Wisconsin,Wisconsin
9,"Western Kentucky","UC Davis","UC Davis"
9,Purdue,Illinois,Purdue
9,Georgia,Charleston,Georgia
9,"Weber St.","South Florida","Weber St."
9,SMU,Hawaii,SMU
9,"Mississippi St.",Providence,"Mississippi St."
9,Stanford,"New Mexico",Stanford
9,Quinnipiac,Navy,Quinnipiac
9,"Saint Louis",Syracuse,"Saint Louis"
9,Bucknell,Binghamton,Binghamton
9,Hampton,"Loyola MD","Loyola MD"
9,"William & Mary","Arkansas Pine Bluff","William & Mary"
9,"UNC Asheville",Brown,"UNC Asheville"
9,"Iowa St.","San Diego St.","San Diego St."
9,UCLA,Tulane,UCLA
9,Iona,"Boston College","Boston College"
9,Army,"South Dakota","South Dakota"
9,"Grambling St.","Cal Poly","Grambling St."
9,Denver,Columbia,Denver
9,BYU,"St. John's",BYU
9,Tulsa,"Tennessee St.","Tennessee St."
9,"Saint Mary's","Texas Tech","Saint Mary's"
9,Fairfield,Manhattan,Fairfield
9,"Alabama A&M","Kennesaw St.","Kennesaw St."
9,Oregon,"Miami FL",Oregon
9,Princeton,UTEP,UTEP
9,Nevada,"Santa Clara",Nevada
9,"Middle Tennessee","St. Bonaventure","St. Bonaventure"
9,Creighton,"Florida St.",Creighton
9,"UNC Wilmington",Samford,"UNC Wilmington"
9,Houston,Gonzaga,Houston
9,"Gardner Webb",Penn,"Gardner Webb"
9,"N.C. State",Kentucky,Kentucky
9,Northwestern,Nebraska,Northwestern
9,"New Hampshire","Purdue Fort Wayne","New Hampshire"
9,Oklahoma,Rutgers,Rutgers
9,"North Carolina","Florida Atlantic","North Carolina"
9,USC,Marquette,USC
